,oare_id,label,excavation_no,transliteration,pdf
112,01cc1406-fc42-4252-aeae-6b4538b069c5,Cuneiform Tablet Kt 92/k 239 (AKT 5 57),Kt 92/k 239,17 GÍN KÙ.BABBAR ší-im e-ma-ri-im 30 ma-na URUDU IŠTAR-pí-lá-aḫ a-na ar-be-e-šu <gap> ù-kà-pu-ú ša-pì-ú-tim 9 ma-na URUDU SIG5 i ší-im sú-ub-ri-im 1 ma-na URUDU ší-kam iš-tí DUMU IŠTAR-ba-ni 2 kà-ar-pát kà-mu-nu mì-ma a-nim i-na du-ur-ḫu-mì-it i-ba-ší 10 pí-ri-kà-nu 1 GÚ SÍG.ḪI.A 2 ú-kà-pé-e 80 lu-ur-ma-tum 10 ma-na Ì.GIŠ sà-ar-dam sà-áp-tí-nam ni-ib-ra-ra-am 2 ší-it-re-e ša za-al-pá 2 e-ma-re ú ù-nu-sú-nu mì-ma a-nim a-na a-šùr-i-mì-tí a-dí-in,5
114,017c5be4-f459-4ef5-a045-5933e79c01f9,Cuneiform Tablet Kt 92/k 245 (AKT 5 69),Kt 92/k 245,ṭup-pu-um ša 10 ma-na KÙ.BABBAR ša PÚZUR-a-šur ù PÚZUR-{d}IŠKUR ṭup-pu-um ša 4 ma-na KÙ.BABBAR ša PÚZUR-a-šur ṭup-pu-um ša 10 ma-na KÙ.BABBAR ša a-sà-nim ṭup-pu-um ša 10 ma-na KÙ.BABBAR ša al-pì-lí ṭup-pu-um ša 10 ma-na KÙ.BABBAR ša a-sà-nim ú PÚZUR-a-šur ṭup-pu-um ša 5 ma-na KÙ.BABBAR ša a-šùr-ṣú-lu-li ṭup-pu-um ša 17 ma-na 15 GÌN ša e-na-na-tim ṭup-pu-um ša ḫu-bu-ul a-bi-ni i-na ku-bu-ur-na-at al-qé-šu,5
115,f52c21e6-5eb4-4a73-a539-c2686cc935b8,Cuneiform Tablet Kt 89/k 289 (AKT 5 76),Kt 89/k 289,a-na ku-li-a qí-bi4-ma um-ma a-šùr-i-mì-tí-ma 0.66666 ma-na 4 GÍN KÙ.BABBAR i-na ša-lá-tù-ar me-eḫ-ra-tim a-šu-mì a-bi4-ì-lí ṣú-ḫa-ri-kà a-dí-na-kum i-na a-wi-tí-ni šu-ma KÙ.BABBAR-pì a-bi4-DINGIR lá i-dí-nam 1 ma-na 6 GÍN KÙ.BABBAR ta-da-nam iš-tù a-lim{ki} té-li-a-ma lá ni-na-me-er-ma ta-tù-ar 2 ma-na 7 GÍN KÙ.BABBAR ku-nu-ki ša en-na-sú-in ú el-pì-DINGIR na-áš-a-ku a-ḫi a-ta šu-up-ra-ma KÙ.BABBAR ù ší-a-ma-tí-šu ša ší-ta ḫa-ra-na-tim lá-al-qé-ma ú ší-tí KÙ.BABBAR-pì-kà a-šar tù-ša-ḫi-zi-ni lá-dí-in,5
116,0126cd13-acf7-4cd5-8373-f1e7b54d824e,Cuneiform Tablet Kt 94/k 943 (AKT 6a 106),Kt 94/k 943,a-na É šál-ma-a-šùr a-na a-wa-tim né-ru-ub-ma um-ma šál-ma-a-šùr-ma i-a-tí a-na bu-ru-uš-ḫa-dim i-na ma-ak-sú-e-im a-na ḫu-bu-ul ÌR a-bu-ša-lim ša-qá-lim i-ra-de8-ú-ni a-ta 30 {TÚG}ku-ta-ni ù ANŠE ṣa-lá-ma-am ša ÌR ta-lá-qé-e um-ma šu-be-lúm-ma ke-na ša ÌR-dí-a a-bu-ša-lim al-qé ša-lim-a-šur ša ni-iš a-lim{ki} úz-na-tí-ni il5-pu-ut um-ma ša-lim-a-šur-ma a-šar ÌR a-na ÌR-dí-kà lá i-tù-ru-ú ma-a a-na ÌR-dí-a i-tù-wa-ar um-ma šu-be-lúm-ma šu-ma a-na ku-a-im i-tù-a-ar a-na TÚG.ḪI.A ù ANŠE.ḪI.A a-za-za-kum a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in IGI ú-ra-a IGI ì-lí-dan IGI ma-ni-um-ba-lúm-a-šùr,6a
117,00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf,Cuneiform Tablet Kt 94/k 863B (AKT 6a 235),Kt 94/k 863B,um-ma šu-ta-mu-zi e-lá-a en-um-a-šùr ù lá-ma-sí-ma a-na en-um-a-šùr ù a-lá-ḫi-im qí-bi4-ma a ma-la na-áš-pé-er-tí-ku-nu ra-bi-ṣa-am ni-ḫu-za-ku-nu-tí a-bi-a DUMU be-e-be ra-bi4-iṣ-ni i-na ša-am-ší ša ra-bi-ṣú-um e-ra-ba-ni iḫ-da-ma i-zi-za-ma lu DAM.GÀR a-bi-ku-nu lu ša a-wa-tám tí-šu-a-ni ra-bi-ṣú-um i-na ša-ḫa-tí-ku-nu li-zi-iz-ma i-na KÙ.BABBAR pá-ni-ma a-šar ta-ma-ḫa-ra-ni KÙ.BABBAR ša É a-lim{ki} šu-ta-aṣ-bi-ta-ma ma-lá a-bu-ku-nu ḫa-bu-lu KÙ.BABBAR ku-un-kà-ma šé-bi-lá-nim ra-bi4-ṣú-um iš-tí-ku-nu li-ik-nu-uk-ma KÙ.BABBAR šé-bi-lá-nim-ma li-ma-am lu nu-ša-bi ṣí-ba-at ṣí-ib-tim lá i-ma-i-da-ku-nu-tí-ma li-ba-ku-nu e im-ra-aṣ ma-lá e-ṭá-ar É a-bi4-ku-nu ep-ša šu-ma ta-da-ga-lá-ma ṭup-pu ḫa-ru-mu-tum ú ba-ba-a-tum ru-qá-tum i-ba-ší-ú ṭup-pí ku-un-kà-ma a-na DUMU um-me-a-nim ke-nim ša ki-ma ku-nu-tí pí-iq-da-ma u4-me-e-ku-nu ba-lu-um mì-ma-ma lá tù-ri-qá-ma lá ta-sà-ḫu-ra iš-tí ra-bi4-ṣí-im tí-ib-a-nim-ma a-tal-kà-nim a-na-kam a-šu-ku-bi4-im ni-iṣ-ba-at um-ma né-nu-ma 5 ma-na KÙ.BABBAR i-na ša ṭup-pì-kà ša-lim-a-šùr i-dí-na-kum a-dí KÙ.BABBAR ša a-ma-kam ta-za-kà-ra-ni KÙ.BABBAR kà-ú-nam lá i-mu-ni-a-tí 0.66666 ma-na KÙ.BABBAR ig-ri ra-bi4-ṣí-im 0.33333 ma-na KÙ.BABBAR a-na-kam il5-qé 0.33333 ma-na a-ma-kam i-lá-qé 16.33333 GÍN KÙ.BABBAR a-na qá-tí-šu-nu ni-dí-in 0.5 ma-na 6.66666 GÍN KÙ.BABBAR ga-mar-šu-nu É tám-kà-ri-im a ṣí-ib-tim ni-il5-qé a-ma-kam KÙ.BABBAR ku-un-kà-nim-ma iš-tí a-li-ki-im pá-nim-ma šé-bi4-lá-nim-ma DAM.GÀR lu nu-ša-bi4 ù KÙ.BABBAR 1 ma-na ú 2 ma-na šé-bi4-lá-nim šé-bi4-lá-nim-ma ú-ṭá-tám 10 BANEŠ a pá-ni-ku-nu lu ni-iš-pu-uk um-ma e-lá-a-ma šu-ma a-ḫu-a a-tù-nu ší-im TÚG KÙ.BABBAR ku-un-kà-nim-ma gi-im-lá-ni,6a
124,0064939c-59b9-4448-a63d-34612af0a1b5,Cuneiform Tablet Kt 94/k 1067 (AKT 6e 1160),Kt 94/k 1067,1 TÚG ša qá-tim i-tur4-DINGIR il5-qé,6e
125,0073f2c0-524c-4bbf-915a-8c1772a4fb98,Cuneiform Tablet Kt 94/k 1637 (AKT 6e 1124),Kt 94/k 1637,<gap> TÚG u-la i-dí-na-ku-um i-tù-ra-ma 9 GÍN KÙ.BABBAR <gap>,6e
126,00aa1c55-c80c-4346-a159-73ad43ab0ff7,Cuneiform Tablet Kt 94/k 1441 (AKT 6c 647),Kt 94/k 1441,um-ma šu-ku-tum-ma a-na IŠTAR-lá-ma-sí ù ni-ta-aḫ-šu-šar qí-bi4-ma mì-šu ša ta-áš-pu-ra-ni-ni um-ma a-tí-na-ma É-tum a-na lá be-tim i-tù-ar a-pu-tum a-na en-um-a-šùr i-<gap>-ni-ma e ší-na ga <gap> ša lá ta-ḫa-dì-ri a-na IŠTAR-lá-ma-sí qí-bi4-ma šu-ma a-ḫa-tí a-ta li-ba-am dì-ni-ší-im lá ta-ḫa-da-ar a-na ni-ta-aḫ-šu-šar qí-bi4-ma TÚG-pì-ri-kà-ni ša e-zi-bu na-pí-ší-šu-nu ù ṭup-pu-ú lu ša-ṣú-ru pì-ri-kà-nu ša ma-tí ù tí-bu-lá ma-a-<gap> iš-ta-ú-mu-ni a-dí en-um-a-šùr i-lá-kà-ni a ma-ma-an lá tù-šé-ri <gap> GÍN KÙ.BABBAR {d}UTU-tap-pá-i ub-lá-ki-im 1 GÍN KÙ.GI ù <gap> GÍN KÙ.BABBAR i-ku-pì-a ub-lá-ki-im,6c
128,0123a9b9-e81e-4d7a-a79b-10e7c0aacbb9,Cuneiform Tablet Kt 91/k 471 (AKT 8 115),Kt 91/k 471,KIŠIB a-lá-ḫi-im KIŠIB a-li-li KIŠIB a-bi4-lá KIŠIB lá-qé-ep ša i-na ba-áb-tim ša a-šùr-be-el-ma-al-ki-im ša iš-ti DUMU a-tù-ri-a ù a-mur-a-šùr ḫi-na-a iṣ-bu-tù-ma a-na e-lá-ma ip-qí-du 2 ma-na 13.5 GÍN KÙ.BABBAR ṣa-ru-pá-am e-lá-ma a-na a-lá-ḫi-im ù a-li-li ip-qí-du KÙ.BABBAR a-na a-lá-ḫi-im a-li-li ù ḫi-na-a a ba-re-šu-nu i-lá-ak,8
133,01cdba65-cee2-4988-b0ee-02dad64dbb5f,Cuneiform Tablet Kt 94/k 989 (AKT 6c 726),Kt 94/k 989,2 pí-ri-kà-ni-e šu-ku-tum 2 pí-ri-kà-ni-e en-na-sú-in 2 pí-ri-kà-ni ù ší-it-ru-um ša a-ki-dí-e 0.5 GÍN KÙ.BABBAR i li-bé-e ḫa-nu-ú 1 pí-ri-kà-num 1 ša za-al-pá-a ni-ib-ra-ru-um a-zu-ú ù DINGIR-áš-ra-ni a-ṣé-er a-mur-IŠTAR ub-lu-ú mì-ma pí-ri-kà-ni-e a-ni-ú-tim a-na ta-ad-mì-iq-tim IŠTAR-lá-ma-sí ta-ta-dí-in,6c
154,21ae4700-fc2d-4e62-8580-bc08efc8a6ae,Cuneiform Tablet Kt 91/k 515b (AKT 8 161b),Kt 91/k 515b,15 GÍN KÙ.BABBAR li-tí SIG5 i-ṣé-er wa-al-ḫi-iš-na pé-ru-wa ù tù-wa-tù-ú-i a-ší-tí-šu lá-ma-sà-tum tí-šu iš-tù ḫa-mu-uš-tim ša i-na-a a-na ša pá-ar-kà i-ša-qú-lu šu-ma lá iš-qú-lu 1.5 GÍN.TA ṣí-ib-tám ú-ṣú-bu ITU.KAM a-lá-na-tim li-mu-um a-šur-i-mì-tí KÙ.BABBAR i qá-qá-ad šál-mì-šu-nu ra-ki-is šu-ma i-na u4-me-šu-nu lá iš-ta-aq-lu tù-wa-tù-wi ú-šé-ṣa <gap> IGI ša-ar-ni-ga-a-šu IGI e-na-a-šur,8
180,5861a2f5-9c9b-4a62-8cac-20134c1624f2,Cuneiform Tablet Kt 91/k 515a (AKT 8 161a),Kt 91/k 515a,KIŠIB ša-ar-ni-ga-a-šu KIŠIB e-na-a-šur DUMU <gap> KIŠIB wa-al-ḫi-iš-na KIŠIB pé-ru-wa KIŠIB tù-wa-tù-ú-i <gap> šu-ma KÙ.BABBAR i-ša-<gap>,8
